Dataset Group,Entity Schema,Entity Name,Dag Last Run Date,Column Name,Data Type,Ordinal Position,Description,Looker Label,D1 Column Name,Vw Column Name,Entity Type,SPROC UPDATE SET,sproc source
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,ROW_SRC,STRING,1,,,,,TABLE,"target.ROW_SRC = source.ROW_SRC,","source.ROW_SRC,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,BILLTO_KUNNR_VBPA,STRING,2,,,,,TABLE,"target.BILLTO_KUNNR_VBPA = source.BILLTO_KUNNR_VBPA,","source.BILLTO_KUNNR_VBPA,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,BSARK_VBAK,STRING,3,,,,,TABLE,"target.BSARK_VBAK = source.BSARK_VBAK,","source.BSARK_VBAK,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_AR_DUE_DTE,DATE,4,,,,,TABLE,"target.CALC_AR_DUE_DTE = source.CALC_AR_DUE_DTE,","source.CALC_AR_DUE_DTE,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_COGSMULTNUM,FLOAT64,5,,,,,TABLE,"target.CALC_COGSMULTNUM = source.CALC_COGSMULTNUM,","source.CALC_COGSMULTNUM,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_ERDAT_VBAK,DATE,6,,,,,TABLE,"target.CALC_ERDAT_VBAK = source.CALC_ERDAT_VBAK,","source.CALC_ERDAT_VBAK,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_EXT_NIFO_AMT,NUMERIC,7,,,,,TABLE,"target.CALC_EXT_NIFO_AMT = source.CALC_EXT_NIFO_AMT,","source.CALC_EXT_NIFO_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_EXT_RETAIL_PRICE_AMT,NUMERIC,8,,,,,TABLE,"target.CALC_EXT_RETAIL_PRICE_AMT = source.CALC_EXT_RETAIL_PRICE_AMT,","source.CALC_EXT_RETAIL_PRICE_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_EXT_SALE_COST_AMT,NUMERIC,9,,,,,TABLE,"target.CALC_EXT_SALE_COST_AMT = source.CALC_EXT_SALE_COST_AMT,","source.CALC_EXT_SALE_COST_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_EXT_SELL_AMT,NUMERIC,10,,,,,TABLE,"target.CALC_EXT_SELL_AMT = source.CALC_EXT_SELL_AMT,","source.CALC_EXT_SELL_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_FKDAT_VBRK,DATE,11,,,,,TABLE,"target.CALC_FKDAT_VBRK = source.CALC_FKDAT_VBRK,","source.CALC_FKDAT_VBRK,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_ORIG_EXT_SELL_AMT,NUMERIC,12,,,,,TABLE,"target.CALC_ORIG_EXT_SELL_AMT = source.CALC_ORIG_EXT_SELL_AMT,","source.CALC_ORIG_EXT_SELL_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_QTY_MULT_NUM,NUMERIC,13,,,,,TABLE,"target.CALC_QTY_MULT_NUM = source.CALC_QTY_MULT_NUM,","source.CALC_QTY_MULT_NUM,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_UNIT_INVOICE_AMT,NUMERIC,14,,,,,TABLE,"target.CALC_UNIT_INVOICE_AMT = source.CALC_UNIT_INVOICE_AMT,","source.CALC_UNIT_INVOICE_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,CALC_UNIT_SELL_AMT,NUMERIC,15,,,,,TABLE,"target.CALC_UNIT_SELL_AMT = source.CALC_UNIT_SELL_AMT,","source.CALC_UNIT_SELL_AMT,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,ERDAT_ORIG_VBRP,STRING,16,,,,,TABLE,"target.ERDAT_ORIG_VBRP = source.ERDAT_ORIG_VBRP,","source.ERDAT_ORIG_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,FKART_VBRK,STRING,17,,,,,TABLE,"target.FKART_VBRK = source.FKART_VBRK,","source.FKART_VBRK,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,FKIMG_VBRP,NUMERIC,18,,,,,TABLE,"target.FKIMG_VBRP = source.FKIMG_VBRP,","source.FKIMG_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,INSPECTION_CODE_MSR_D_EXECUTED,STRING,19,,,,,TABLE,"target.INSPECTION_CODE_MSR_D_EXECUTED = source.INSPECTION_CODE_MSR_D_EXECUTED,","source.INSPECTION_CODE_MSR_D_EXECUTED,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,IRM_PCBGP_VBRP,STRING,20,,,,,TABLE,"target.IRM_PCBGP_VBRP = source.IRM_PCBGP_VBRP,","source.IRM_PCBGP_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,IRM_PCNUM_EXT_VBRP,STRING,21,,,,,TABLE,"target.IRM_PCNUM_EXT_VBRP = source.IRM_PCNUM_EXT_VBRP,","source.IRM_PCNUM_EXT_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,KUNNR_VBPA,STRING,22,,,,,TABLE,"target.KUNNR_VBPA = source.KUNNR_VBPA,","source.KUNNR_VBPA,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,KWMENG_VBAP,NUMERIC,23,,,,,TABLE,"target.KWMENG_VBAP = source.KWMENG_VBAP,","source.KWMENG_VBAP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,MATNR_MARA,STRING,24,,,,,TABLE,"target.MATNR_MARA = source.MATNR_MARA,","source.MATNR_MARA,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,MATWA_VBRP,STRING,25,,,,,TABLE,"target.MATWA_VBRP = source.MATWA_VBRP,","source.MATWA_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,NETWR_VBRP,NUMERIC,26,,,,,TABLE,"target.NETWR_VBRP = source.NETWR_VBRP,","source.NETWR_VBRP,"
D1,D1_PHM_CONFFACT_BILLING,WORK_BILLING_TRNSCT_HVD_PR,,POSNR_VBAP,STRING,27,,,,,TABLE,"target.POSNR_VBAP = source.POSNR_VBAP,","source.POSNR_VBAP,"
